id,score,abs_score
6_15,0.6999584777950077,0.6999584777950077
10_16,-0.6445898711681366,0.6445898711681366
3_4,0.5490826649911469,0.5490826649911469
1_12,0.3540715575218201,0.3540715575218201
16,0.32130146004298393,0.32130146004298393
9_12,-0.31601306702941645,0.31601306702941645
4_7,-0.310804083943367,0.310804083943367
10_12,0.31056174635887146,0.31056174635887146
3,-0.29157129833232226,0.29157129833232226
6,-0.2907294253001359,0.2907294253001359
2_6,-0.28593772649765015,0.28593772649765015
4_6,0.2840435359394178,0.2840435359394178
15,-0.2838806573065086,0.2838806573065086
9,0.27689166528458975,0.27689166528458975
2_16,0.2509606654930394,0.2509606654930394
7_9,0.24941828834562335,0.24941828834562335
12,-0.2472435881867569,0.2472435881867569
2_7,0.23900180216878641,0.23900180216878641
8_11,0.23689805716276172,0.23689805716276172
7_11,-0.2358468472957611,0.2358468472957611
11,0.21183792973558105,0.21183792973558105
4_5,0.2034944987778242,0.2034944987778242
4_14,-0.20238035917282104,0.20238035917282104
4_11,-0.1962260901927948,0.1962260901927948
4_9,-0.19292929489165556,0.19292929489165556
4,0.18431232823883575,0.18431232823883575
10,0.18024628460407258,0.18024628460407258
1_4,-0.1788541078567505,0.1788541078567505
9_11,-0.17218570411205292,0.17218570411205292
8,-0.13149624895801637,0.13149624895801637
13,-0.10738467251176194,0.10738467251176194
7_13,0.10667668579480964,0.10667668579480964
5_16,-0.10560887803634007,0.10560887803634007
3_16,0.10199287454306613,0.10199287454306613
1_16,-0.08079111576080322,0.08079111576080322
3_8,0.07404976431280379,0.07404976431280379
2_5,0.07388249678479045,0.07388249678479045
4_15,-0.05856817960739136,0.05856817960739136
2_15,-0.05541853606700897,0.05541853606700897
6_11,0.05058157444000244,0.05058157444000244
7_14,0.04239344596862793,0.04239344596862793
6_10,-0.03836417198181152,0.03836417198181152
11_15,-0.0363616943359375,0.0363616943359375
6_14,0.03311312198638916,0.03311312198638916
7,0.032863946539509935,0.032863946539509935
13_15,0.029885411262512207,0.029885411262512207
13_14,0.0285491943359375,0.0285491943359375
2_10,-0.028376609086990356,0.028376609086990356
11_12,0.02817147970199585,0.02817147970199585
14_15,0.027801156044006348,0.027801156044006348
6_16,-0.027372896671295166,0.027372896671295166
5_6,0.026685893535614014,0.026685893535614014
14_16,0.026667088270187378,0.026667088270187378
14,-0.025897394617398588,0.025897394617398588
2,-0.020217679719886833,0.020217679719886833
4_10,0.019739866256713867,0.019739866256713867
1_10,0.01961076259613037,0.01961076259613037
9_13,0.01921102870255703,0.01921102870255703
6_12,-0.019015247358765915,0.019015247358765915
9_16,0.018856048583984375,0.018856048583984375
5_13,0.018573880195617676,0.018573880195617676
7_12,0.01853179931640625,0.01853179931640625
2_13,-0.017519235610961914,0.017519235610961914
9_15,-0.01701188087463379,0.01701188087463379
5_9,-0.01577336434274909,0.01577336434274909
1_9,0.01567212740580241,0.01567212740580241
1,-0.015538255659824626,0.015538255659824626
12_13,0.015070796012878418,0.015070796012878418
1_3,-0.01361161470413208,0.01361161470413208
9_14,0.012030243873596191,0.012030243873596191
1_7,0.011704206466674805,0.011704206466674805
12_15,0.011334130114846654,0.011334130114846654
3_6,0.010916332403818766,0.010916332403818766
5,-0.010822462061211548,0.010822462061211548
10_14,0.01017087697982788,0.01017087697982788
8_12,0.009597912430763245,0.009597912430763245
2_9,0.009385943412780762,0.009385943412780762
3_10,-0.009319722652435303,0.009319722652435303
5_8,-0.007849236153560922,0.007849236153560922
8_15,0.00781404972076416,0.00781404972076416
10_13,0.007409840822219849,0.007409840822219849
5_14,-0.00729292631149292,0.00729292631149292
1_14,-0.006623804569244385,0.006623804569244385
2_14,-0.006547212600708008,0.006547212600708008
3_7,0.006122767925262451,0.006122767925262451
8_10,0.005740374326705933,0.005740374326705933
1_11,0.005231797695159912,0.005231797695159912
9_10,-0.005177855491638184,0.005177855491638184
4_12,0.005047949525760459,0.005047949525760459
3_9,0.0035941004753112793,0.0035941004753112793
3_13,-0.00355684757232666,0.00355684757232666
2_8,0.003481884797414144,0.003481884797414144
1_15,-0.0032970011234283447,0.0032970011234283447
1_13,-0.003263552920543502,0.003263552920543502
1_6,-0.0027701854705810547,0.0027701854705810547
4_8,0.0025328993797302246,0.0025328993797302246
13_16,-0.002302199602127075,0.002302199602127075
3_11,0.001719355583190918,0.001719355583190918
5_12,-0.001418381929397583,0.001418381929397583
7_10,0.001278221607208252,0.001278221607208252
8_16,0.0010121464729309082,0.0010121464729309082
11_13,0.0005162358283996582,0.0005162358283996582
11_14,0.00029204289118448895,0.00029204289118448895
4_13,-0.0002678036689758301,0.0002678036689758301
5_7,0.0,0.0
3_15,0.0,0.0
12_16,0.0,0.0
6_7,0.0,0.0
5_15,0.0,0.0
6_8,0.0,0.0
6_9,0.0,0.0
6_13,0.0,0.0
5_11,0.0,0.0
7_8,0.0,0.0
7_15,0.0,0.0
5_10,0.0,0.0
7_16,0.0,0.0
15_16,0.0,0.0
4_16,0.0,0.0
3_5,0.0,0.0
1_2,0.0,0.0
3_14,0.0,0.0
12_14,0.0,0.0
1_5,0.0,0.0
1_8,0.0,0.0
2_3,0.0,0.0
2_4,0.0,0.0
11_16,0.0,0.0
2_12,0.0,0.0
2_11,0.0,0.0
8_13,0.0,0.0
8_14,0.0,0.0
10_11,0.0,0.0
3_12,0.0,0.0
10_15,0.0,0.0
8_9,0.0,0.0
