id,score
6_15,0.6999584777950077
3_4,0.5490826649911469
1_12,0.3540715575218201
16,0.32130146004298393
10_12,0.31056174635887146
4_6,0.2840435359394178
9,0.27689166528458975
2_16,0.2509606654930394
7_9,0.24941828834562335
2_7,0.23900180216878641
8_11,0.23689805716276172
11,0.21183792973558105
4_5,0.2034944987778242
4,0.18431232823883575
10,0.18024628460407258
7_13,0.10667668579480964
3_16,0.10199287454306613
3_8,0.07404976431280379
2_5,0.07388249678479045
6_11,0.05058157444000244
7_14,0.04239344596862793
6_14,0.03311312198638916
7,0.032863946539509935
13_15,0.029885411262512207
13_14,0.0285491943359375
11_12,0.02817147970199585
14_15,0.027801156044006348
5_6,0.026685893535614014
14_16,0.026667088270187378
4_10,0.019739866256713867
1_10,0.01961076259613037
9_13,0.01921102870255703
9_16,0.018856048583984375
5_13,0.018573880195617676
7_12,0.01853179931640625
1_9,0.01567212740580241
12_13,0.015070796012878418
9_14,0.012030243873596191
1_7,0.011704206466674805
12_15,0.011334130114846654
3_6,0.010916332403818766
10_14,0.01017087697982788
8_12,0.009597912430763245
2_9,0.009385943412780762
8_15,0.00781404972076416
10_13,0.007409840822219849
3_7,0.006122767925262451
8_10,0.005740374326705933
1_11,0.005231797695159912
4_12,0.005047949525760459
3_9,0.0035941004753112793
2_8,0.003481884797414144
4_8,0.0025328993797302246
3_11,0.001719355583190918
7_10,0.001278221607208252
8_16,0.0010121464729309082
11_13,0.0005162358283996582
11_14,0.00029204289118448895
6_7,0.0
5_15,0.0
6_8,0.0
6_9,0.0
6_13,0.0
5_11,0.0
7_8,0.0
7_15,0.0
5_10,0.0
7_16,0.0
8_9,0.0
5_7,0.0
15_16,0.0
4_16,0.0
3_5,0.0
12_16,0.0
1_2,0.0
12_14,0.0
1_5,0.0
1_8,0.0
2_3,0.0
2_4,0.0
11_16,0.0
2_12,0.0
2_11,0.0
8_13,0.0
8_14,0.0
10_11,0.0
3_12,0.0
10_15,0.0
3_14,0.0
3_15,0.0
4_13,-0.0002678036689758301
5_12,-0.001418381929397583
13_16,-0.002302199602127075
1_6,-0.0027701854705810547
1_13,-0.003263552920543502
1_15,-0.0032970011234283447
3_13,-0.00355684757232666
9_10,-0.005177855491638184
2_14,-0.006547212600708008
1_14,-0.006623804569244385
5_14,-0.00729292631149292
5_8,-0.007849236153560922
3_10,-0.009319722652435303
5,-0.010822462061211548
1_3,-0.01361161470413208
1,-0.015538255659824626
5_9,-0.01577336434274909
9_15,-0.01701188087463379
2_13,-0.017519235610961914
6_12,-0.019015247358765915
2,-0.020217679719886833
14,-0.025897394617398588
6_16,-0.027372896671295166
2_10,-0.028376609086990356
11_15,-0.0363616943359375
6_10,-0.03836417198181152
2_15,-0.05541853606700897
4_15,-0.05856817960739136
1_16,-0.08079111576080322
5_16,-0.10560887803634007
13,-0.10738467251176194
8,-0.13149624895801637
9_11,-0.17218570411205292
1_4,-0.1788541078567505
4_9,-0.19292929489165556
4_11,-0.1962260901927948
4_14,-0.20238035917282104
7_11,-0.2358468472957611
12,-0.2472435881867569
15,-0.2838806573065086
2_6,-0.28593772649765015
6,-0.2907294253001359
3,-0.29157129833232226
4_7,-0.310804083943367
9_12,-0.31601306702941645
10_16,-0.6445898711681366
