id,score
11,0.5068189714875644
1_7,0.1865613071620994
7,0.17077740686408033
6,0.15541038551842198
3_7,0.155384800335014
13,0.140951947882365
9_10,0.13229354968195997
16,0.12585987320007205
3_4,0.12342801901912834
6_9,0.11351830389370059
2_10,0.10410586643265558
2_5,0.10164064457640051
6_15,0.09738308297271624
10_14,0.09404247602707563
1_2,0.0897596602274765
3_8,0.07332343029611366
7_15,0.07318814957786043
1_10,0.0680622174719853
2_6,0.06480292114574696
3_10,0.05616102601925377
2,0.05559257930390353
4_16,0.05387924574772895
1_12,0.05203302048695541
3_16,0.0464949544103648
7_9,0.04624637585766324
2_3,0.04587745171842729
3_6,0.04520451965023919
10_12,0.04460004226050598
5,0.04378386355490156
8,0.04290596218481662
14_16,0.04256642072037464
1_8,0.04041504189372064
5_7,0.039434407047034874
10_15,0.03752786384112288
4_8,0.03736756998114285
10_16,0.03619660327136184
3_12,0.034689417954983336
7_13,0.03403421235062916
13_14,0.03081414808839327
2_13,0.029258910051890116
2_9,0.029198176313498567
12_13,0.02892267578297632
13_16,0.02678811494843105
2_8,0.026236159429572595
8_13,0.024962364066875756
11_14,0.024050675195515698
5_10,0.02292927019256499
4_14,0.01931095342817052
12_15,0.01914395781770712
12_14,0.01666535364795261
1_5,0.015613105515512876
2_14,0.013678726337578464
12,0.01340848098755934
3_5,0.011100724862234738
3_15,0.010555604021647024
5_9,0.010037574503156874
9_11,0.008402965367875171
5_12,0.007017260624302769
5_8,0.006545099090614662
8_11,0.006518427257105913
8_15,0.0058060169219970705
10_13,0.004965990781784048
8_9,0.0028059558942913946
3_9,0.0027042353277255894
6_14,0.0008334146302385277
5_15,0.0005297563396967459
9_15,0.000492781400680542
1_15,-2.886192750235001e-05
4_5,-7.304052511853769e-05
14_15,-0.00038833891113217915
4_10,-0.001064004655585007
5_13,-0.0027536463278990566
11_12,-0.003657950398129685
4,-0.0038562576773372194
2_12,-0.004369904785042818
4_15,-0.0048380653063456215
4_12,-0.005018675869161423
12_16,-0.008406554581597447
2_4,-0.008755868688038189
6_12,-0.010183625367062655
3_14,-0.010555419049827212
9_12,-0.011168783673873332
1_4,-0.015690688767599086
7_8,-0.016044646148414648
2_15,-0.016105984151363377
6_11,-0.016391295144925475
5_14,-0.0169975373428315
1_9,-0.01985995334252947
8_14,-0.02072833611544831
9_13,-0.02119021729699206
4_13,-0.02279654687299626
1_6,-0.024792982621213676
9_16,-0.02506868883981095
4_9,-0.025495277841885884
15_16,-0.02725558880698179
11_16,-0.029635617493220384
7_10,-0.029741030058357865
6_8,-0.030514743810635975
4_11,-0.03193731380140107
11_15,-0.03250451947315014
1,-0.03302286390824398
9_14,-0.03340582993696444
1_13,-0.03402019207715056
4_6,-0.036836439743638046
14,-0.037379514676379136
1_3,-0.037589907433963766
2_16,-0.03763849362730983
6_16,-0.0388195492665876
8_16,-0.04079349136542684
1_16,-0.04283174916980153
4_7,-0.04485049843788148
6_13,-0.04502881662920118
5_16,-0.04528545976645546
1_11,-0.046003628059142196
8_10,-0.04613023722512564
1_14,-0.05642309863651461
7_14,-0.059496743158282094
7_16,-0.06056404570117593
3_11,-0.06523398822367504
13_15,-0.06647286364912158
6_10,-0.0677843266229112
7_11,-0.0690116563810079
3_13,-0.06975108548199803
5_11,-0.07030264593930424
9,-0.07102187291424376
8_12,-0.07815183628893765
6_7,-0.07985188978091173
10_11,-0.08012678447823204
7_12,-0.08780586737047998
5_6,-0.10419031347458561
15,-0.10549967781688235
3,-0.12075589529377125
10,-0.12843432428417592
2_11,-0.13224552436308426
11_13,-0.13951225082079569
2_7,-0.2479114147135988
