id,score,abs_score
11,0.5257672002309987,0.5257672002309987
7,0.1832944909661237,0.1832944909661237
3,0.14839015829049781,0.14839015829049781
10_11,-0.12766572326538606,0.12766572326538606
7_11,-0.12113167123393832,0.12113167123393832
16,0.12076896365900526,0.12076896365900526
3_11,-0.09811566073577623,0.09811566073577623
6,0.07133024845349509,0.07133024845349509
2_11,-0.06810507234910997,0.06810507234910997
9_10,0.06501332262171658,0.06501332262171658
10,0.06371081355999772,0.06371081355999772
11_16,-0.05975742347093406,0.05975742347093406
2,0.059316833089580585,0.059316833089580585
4_11,-0.056315074484402775,0.056315074484402775
6_11,-0.05616377975159327,0.05616377975159327
1_11,-0.049047484750029416,0.049047484750029416
14_15,-0.04869855194865583,0.04869855194865583
2_10,0.04813258493332923,0.04813258493332923
12_16,-0.044520831501896424,0.044520831501896424
4_8,0.04199805288052793,0.04199805288052793
11_15,-0.04110137661333928,0.04110137661333928
5_6,-0.03956943548263078,0.03956943548263078
14_16,0.039036764502311014,0.039036764502311014
10_14,0.0388659202205333,0.0388659202205333
1,0.037214242399650904,0.037214242399650904
6_13,0.03667497514063042,0.03667497514063042
4_6,0.03586055176401364,0.03586055176401364
6_16,-0.03533013105129525,0.03533013105129525
5_14,0.03380178327116725,0.03380178327116725
4,0.03372701395630377,0.03372701395630377
1_6,0.032773924953791396,0.032773924953791396
11_14,-0.03228620601416134,0.03228620601416134
9,0.032108892368699606,0.032108892368699606
8_15,0.031175436210369986,0.031175436210369986
3_8,0.031165329318755826,0.031165329318755826
7_12,-0.0311528677839278,0.0311528677839278
6_15,0.030997300539235217,0.030997300539235217
8_12,-0.02966250240237879,0.02966250240237879
8_16,-0.028817877804960965,0.028817877804960965
9_11,-0.02838541868508987,0.02838541868508987
3_13,-0.027971803871819065,0.027971803871819065
12_14,0.02753416363966786,0.02753416363966786
7_13,0.02662289519088685,0.02662289519088685
2_6,0.026586726844191243,0.026586726844191243
1_12,0.026504388798412708,0.026504388798412708
13_15,-0.025975459001419662,0.025975459001419662
13_16,0.025884029440167072,0.025884029440167072
6_7,-0.02552281886941153,0.02552281886941153
5_15,0.025521839595713157,0.025521839595713157
6_12,-0.02498350357877381,0.02498350357877381
6_10,-0.024562012940645472,0.024562012940645472
1_8,0.02387586728652729,0.02387586728652729
6_9,0.023810582216419907,0.023810582216419907
12_13,0.023335943149916508,0.023335943149916508
3_12,0.023009576152323054,0.023009576152323054
7_10,-0.02259608810132238,0.02259608810132238
5_10,0.02221135743136956,0.02221135743136956
10_16,-0.022155824061201826,0.022155824061201826
7_8,-0.02164019250703586,0.02164019250703586
12_15,0.020756865363865104,0.020756865363865104
4_15,-0.020687150824760206,0.020687150824760206
1_9,-0.02035398675955853,0.02035398675955853
7_15,0.020239933106854922,0.020239933106854922
1_13,-0.01996588545116247,0.01996588545116247
8_13,0.019081992174617847,0.019081992174617847
2_8,0.019002678032954044,0.019002678032954044
1_5,0.01886917159873422,0.01886917159873422
3_15,-0.018796872997245792,0.018796872997245792
9_14,-0.018712268286993364,0.018712268286993364
3_7,-0.018541396109232625,0.018541396109232625
9_13,-0.01736400354495636,0.01736400354495636
4_9,-0.01718378850528736,0.01718378850528736
2_5,0.016880990369673415,0.016880990369673415
1_16,0.016696309977792388,0.016696309977792388
1_3,-0.016254531489169485,0.016254531489169485
3_14,-0.015318186424683813,0.015318186424683813
11_13,-0.01465281266169799,0.01465281266169799
3_10,0.014047003349503547,0.014047003349503547
4_5,0.013411570933981133,0.013411570933981133
8_14,0.013324214993308298,0.013324214993308298
14,-0.013124684630686941,0.013124684630686941
11_12,0.013098330089469735,0.013098330089469735
6_8,-0.013000729576511313,0.013000729576511313
3_6,0.012936729026658184,0.012936729026658184
7_9,0.012535584813836646,0.012535584813836646
15_16,-0.012454592098788603,0.012454592098788603
10_13,0.012385834879119657,0.012385834879119657
10_12,0.01211253185564698,0.01211253185564698
7_16,-0.012100181504232616,0.012100181504232616
1_14,-0.01137445854135792,0.01137445854135792
2_9,0.011350756083549865,0.011350756083549865
15,-0.011281645507385842,0.011281645507385842
5_11,-0.010948473606481351,0.010948473606481351
2_4,0.010040414094270034,0.010040414094270034
5_12,-0.0098873826684246,0.0098873826684246
2_3,-0.009409611366802094,0.009409611366802094
1_15,-0.009364863714734911,0.009364863714734911
9_15,-0.009064536850851158,0.009064536850851158
1_7,0.008832602470746367,0.008832602470746367
4_14,-0.008817082991361337,0.008817082991361337
10_15,0.00876741141661122,0.00876741141661122
2_16,-0.008766818003061547,0.008766818003061547
9_12,0.008531504422679637,0.008531504422679637
8_9,0.007935794821745196,0.007935794821745196
4_10,-0.007426114221019034,0.007426114221019034
13,0.006896283402134728,0.006896283402134728
8_10,-0.006416116394681745,0.006416116394681745
2_7,-0.006329823692385217,0.006329823692385217
3_16,0.0063006877677260625,0.0063006877677260625
1_4,0.006257911869111316,0.006257911869111316
9_16,-0.006237370508599967,0.006237370508599967
5_8,-0.005927112557000326,0.005927112557000326
1_10,0.005822906560668584,0.005822906560668584
2_14,0.005645869488198625,0.005645869488198625
7_14,-0.005624622562985029,0.005624622562985029
4_16,0.00502387663315388,0.00502387663315388
8_11,-0.0037122156490798017,0.0037122156490798017
12,0.0036035521619433263,0.0036035521619433263
5_7,0.003558592140073251,0.003558592140073251
4_7,0.002700564604481495,0.002700564604481495
5_16,-0.002348745171703477,0.002348745171703477
3_9,-0.0022611682002001213,0.0022611682002001213
2_12,-0.002081998479971009,0.002081998479971009
5,0.0020710683116804476,0.0020710683116804476
8,-0.001765558705977572,0.001765558705977572
3_4,0.001628271387705743,0.001628271387705743
3_5,-0.0011105145319720636,0.0011105145319720636
5_13,-0.0005348675961874758,0.0005348675961874758
4_12,-0.0005162482707291513,0.0005162482707291513
6_14,-0.0004835276228529334,0.0004835276228529334
4_13,-0.0004643534302580868,0.0004643534302580868
2_13,-0.00046342840139008967,0.00046342840139008967
13_14,-0.0003501567789082616,0.0003501567789082616
1_2,-0.0002262910681706115,0.0002262910681706115
5_9,0.00019072013897028506,0.00019072013897028506
2_15,-5.4002732415014965e-05,5.4002732415014965e-05
