id,score
11,0.6815058602365225
16,0.4539839094250439
7,0.38838941940914024
3,0.3561372351854385
4,0.2770927960868646
9,0.23220266002756376
14,0.17963356795836255
2,0.17009548029455193
15,0.16500090540304307
6,0.14434441539879383
1,0.14381492677201665
13,0.09709604316381949
5,0.09210533219534967
10,0.07754123566225463
9_10,0.06636348589946123
8,0.06061770584318339
1_8,0.058379559861845336
12,0.05827901741714752
2_10,0.05557787922903331
12_15,0.052233255219644045
10_14,0.048031689663543056
2_8,0.048024246505597175
1_12,0.047993623135581386
1_16,0.044780203651855054
3_12,0.04467986087793247
5_15,0.039125781562865856
8_13,0.03512922153402463
12_14,0.02988554328720068
5_13,0.02840704028308707
3_10,0.02693507071683255
4_8,0.0240056481797671
9_13,0.022584642060123353
2_6,0.020964211728022424
7_13,0.02006489001635651
7_15,0.019115486873432362
8_14,0.018518830719918847
13_14,0.017782257409623414
1_5,0.016351783716942528
6_13,0.015859907829532206
2_9,0.014156842687169421
4_9,0.013595593726940143
1_15,0.013098181788756123
5_10,0.010750935842777865
10_12,0.010628721986989727
3_6,0.010416435226883451
8_11,0.01028174664208148
10_13,0.010029769874312179
6_9,0.009821089251688522
4_10,0.008234255886760244
5_11,0.007779092776740146
3_8,0.007715766200661875
5_14,0.005311904042153717
8_9,0.004466669162822255
13_16,0.004154349938572756
4_14,0.0035258147691781816
3_7,0.0028438941133981724
7_10,0.0015768540973877046
8_10,0.0012477573051423371
6_8,0.0010330219785787617
14_16,0.000986848028666526
1_4,0.0008794706761253088
2_3,-0.002036793719481858
2_15,-0.002856499031973929
2_7,-0.0038192464031315404
5_12,-0.003835640799629801
2_12,-0.004864697515609383
6_15,-0.005598115981454314
2_4,-0.006590363283782506
6_14,-0.00830398393309112
1_10,-0.008620857610563935
3_4,-0.009319108479392615
6_16,-0.009632959166786276
4_7,-0.01102522587900591
2_13,-0.012335713200983214
6_10,-0.01252127508832468
5_16,-0.013315192061847628
4_6,-0.013411524911805833
5_7,-0.014112573813911414
3_5,-0.014253294786325046
1_3,-0.014414498798601252
1_7,-0.01526964738744245
6_12,-0.017018186722938047
2_5,-0.018604068066162688
7_8,-0.020552217381729188
5_8,-0.021894120954839724
12_13,-0.023593599516316746
5_6,-0.024562304722355446
9_12,-0.02466578667121523
9_15,-0.028259502401595846
4_13,-0.028880494741835863
15_16,-0.02940351763789477
11_13,-0.029951651439425228
9_11,-0.03191333266611136
1_14,-0.03425679612930588
6_7,-0.035114905547221784
11_12,-0.03571296338504726
1_6,-0.037450425157043096
12_16,-0.03760342498819694
10_15,-0.03813052607970173
5_9,-0.03975918923132436
3_15,-0.040310684613053135
8_12,-0.0435182069782893
9_14,-0.04438689116959847
4_12,-0.04831135814563621
13_15,-0.04898387590872315
2_16,-0.049182748446484056
7_12,-0.05179343244260391
8_15,-0.05615745489824993
11_15,-0.056923692391942324
1_13,-0.05905674893944997
6_11,-0.060800675030993956
1_2,-0.06128218850419685
1_9,-0.06521919244435141
1_11,-0.06781407658983372
4_16,-0.07041688605998879
2_14,-0.0708960197939414
11_14,-0.07887834814164048
10_16,-0.07965113963555197
2_11,-0.08088696933847338
9_16,-0.08122734544046588
14_15,-0.08222230188394201
4_5,-0.08544532603175871
3_14,-0.08614178233422619
7_9,-0.08626186534079629
7_14,-0.08857481890937004
11_16,-0.08935768287797548
3_13,-0.09427991754340077
3_11,-0.0995252272309579
3_9,-0.10234012654922843
7_16,-0.10911698900268059
10_11,-0.11903535988168672
4_15,-0.11957706873678615
4_11,-0.12335410308420693
8_16,-0.12688118976335938
3_16,-0.16646334745788938
7_11,-0.2134217023292208
